id,repo,prNumber,provenance,evidence,language,changedLines,sizeBucket,emptyBody,nQuestions,realMean,syntheticMean,realPctExplicit,syntheticPctExplicit,gap
apache_airflow__69772,apache/airflow,69772,agent,agent-trailer,Python,254,150-499,false,4,0.5000,1.5000,0,75,-1
apache_airflow__69780,apache/airflow,69780,agent,agent-trailer,Python,22,20-49,false,3,1.3333,1.3333,66.6667,66.6667,0
apache_airflow__69830,apache/airflow,69830,agent,agent-trailer,Python,39,20-49,false,3,0.6667,2,0,100,-1.3333
apache_airflow__70007,apache/airflow,70007,agent,agent-trailer,Python,57,50-149,false,3,0.3333,1.3333,0,66.6667,-1
apache_airflow__70432,apache/airflow,70432,human,none,Python,53,50-149,true,3,0.6667,2,0,100,-1.3333
apache_airflow__70650,apache/airflow,70650,human,none,Python,311,150-499,false,3,1.3333,2,66.6667,100,-0.6667
grafana_grafana__100478,grafana/grafana,100478,human,none,TypeScript,44,20-49,true,3,0.6667,2,0,100,-1.3333
grafana_grafana__100884,grafana/grafana,100884,human,none,TypeScript,2518,500+,false,3,1,0.6667,33.3333,0,0.3333
grafana_grafana__101180,grafana/grafana,101180,human,none,TypeScript,1415,500+,false,4,1.2500,0.7500,50,25,0.5000
grafana_grafana__101215,grafana/grafana,101215,human,none,Go,39,20-49,false,3,0.3333,1.3333,0,66.6667,-1
grafana_grafana__101428,grafana/grafana,101428,human,none,TypeScript,51,50-149,false,4,1,2,0,100,-1
grafana_grafana__101449,grafana/grafana,101449,human,none,Go,735,500+,false,3,0.6667,1,0,0,-0.3333
grafana_grafana__101504,grafana/grafana,101504,human,none,TypeScript,26,20-49,false,3,1,2,0,100,-1
grafana_grafana__101703,grafana/grafana,101703,human,none,TypeScript,2247,500+,false,3,0.6667,1.3333,0,33.3333,-0.6667
grafana_grafana__101753,grafana/grafana,101753,human,none,TypeScript,198,150-499,true,3,0,2,0,100,-2
grafana_grafana__101860,grafana/grafana,101860,human,none,TypeScript,206,150-499,false,3,0.6667,2,0,100,-1.3333
grafana_grafana__102232,grafana/grafana,102232,human,none,TypeScript,50,50-149,false,3,1.3333,2,33.3333,100,-0.6667
grafana_grafana__102233,grafana/grafana,102233,human,none,Go,157,150-499,true,3,0,1.6667,0,66.6667,-1.6667
grafana_grafana__102325,grafana/grafana,102325,human,none,TypeScript,44,20-49,false,3,1.6667,0.3333,66.6667,0,1.3333
grafana_grafana__102331,grafana/grafana,102331,human,none,TypeScript,69,50-149,true,3,0,2,0,100,-2
grafana_grafana__102359,grafana/grafana,102359,human,none,TypeScript,1813,500+,false,4,0.7500,1.7500,0,75,-1
grafana_grafana__102444,grafana/grafana,102444,human,none,Go,677,500+,true,3,0,1,0,0,-1
grafana_grafana__102556,grafana/grafana,102556,human,none,Go,173,150-499,false,3,0.6667,1.6667,0,66.6667,-1
